model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_gamma,param_max_depth,param_min_samples_split,param_n_estimators,param_metric,param_n_neighbors,param_weights
Post-selection Logistic,0.01360479990641276,0.0022200913724762803,0.002971649169921875,0.00012708150117668197,0.1,{'C': 0.1},0.8842905242905243,0.8442394402694999,0.8314655172413793,0.8533318272671345,0.02250368811878951,2,0.9272983789697965,0.9172046254399197,0.9553221243055217,0.9332750429050792,0.016125059458056267,,,,,,,
Post-selection Logistic,0.041374524434407554,0.031400917044625935,0.024543046951293945,0.03036406810307208,1.0,{'C': 1.0},0.9078947368421053,0.9486066337130167,0.855597719481567,0.9040330300122297,0.03806878963453938,1,0.9911499762945793,0.9915249962165161,1.0,0.9942249908370319,0.004086417184587426,,,,,,,
SVM linear,0.003966410954793294,0.00014481468519387576,0.0025348663330078125,4.502135748440613e-05,0.1,{'C': 0.1},0.8454854219046358,0.8938120702826584,0.855597719481567,0.8649650705562871,0.02081148217500862,2,0.9610907632564055,0.9551779178018084,0.9944460163266161,0.97023823246161,0.017286855026939302,,,,,,,
SVM linear,0.004877328872680664,0.0010303011293057447,0.002991358439127604,0.00052850038482162,1.0,{'C': 1.0},0.8549759780370625,0.9344184081026187,0.8803418803418803,0.8899120888271872,0.0331307167798442,1,1.0,1.0,1.0,1.0,0.0,,,,,,,
SVM RBF,0.008425553639729818,0.0001695188325902575,0.005616346995035808,0.0003597457657401968,0.1,"{'C': 0.1, 'gamma': 'scale'}",0.828616977674912,0.7803498319211454,0.8085783312916837,0.8058483802959137,0.019799306623100348,3,0.8334259720743763,0.7965936802861319,0.8929499518044226,0.8409898680549769,0.03969922045440063,scale,,,,,,
SVM RBF,0.008608420689900717,9.288830542721906e-05,0.005655924479166667,0.0001561069909622898,0.1,"{'C': 0.1, 'gamma': 0.01}",0.6986312399355877,0.7459194584298148,0.7474415204678362,0.7306640729444128,0.02265915504662307,4,0.749187358825913,0.7506864073958224,0.8655737249343957,0.7884824970520437,0.05451516516200044,0.01,,,,,,
SVM RBF,0.005937655766805013,0.00022477366666851455,0.0044298966725667315,9.914550604355533e-05,1.0,"{'C': 1.0, 'gamma': 'scale'}",0.867038275733928,0.9255581020286904,0.8792714377820761,0.8906226051815649,0.025202900208649306,2,0.985451792878076,0.9776947112329027,1.0,0.9877155013703263,0.009245711036270206,scale,,,,,,
SVM RBF,0.005614121754964192,0.0001579337089111875,0.004358450571695964,0.00012513521010454229,1.0,"{'C': 1.0, 'gamma': 0.01}",0.8946296792904462,0.9370600414078675,0.9132509386733417,0.9149802197905519,0.01736522803844181,1,0.9500984538564218,0.9568246062727149,0.983399209486166,0.9634407565384343,0.014377416657891372,0.01,,,,,,
Random Forest,0.2308509349822998,0.003314655543417504,0.015053590138753256,0.0039292213318364065,,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.8306006310570205,0.9364799121155053,0.836627267994524,0.86790260372235,0.04855385675056494,1,1.0,1.0,1.0,1.0,0.0,,,2.0,100.0,,,
Random Forest,0.23231331507364908,0.004474682535074646,0.012451092402140299,0.0010850778580058344,,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.8306006310570205,0.9364799121155053,0.836627267994524,0.86790260372235,0.04855385675056494,1,1.0,1.0,1.0,1.0,0.0,,10,2.0,100.0,,,
k-NN,0.0015161832173665364,9.045701296435715e-05,0.32764554023742676,0.036079951955224274,,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8864351117419499,0.8477534388929909,0.7976915588930608,0.8439600365093338,0.03632856515465615,1,0.9265364265364265,0.9170355313522341,0.9177296969404161,0.9204338849430256,0.004324444233297153,,,,,euclidean,3.0,uniform
k-NN,0.0011525948842366536,0.00010593127042365912,0.447118600209554,0.03667997977659284,,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.8660167806392162,0.8114736581634948,0.7976915588930608,0.8250606658985906,0.029501853795544115,2,1.0,1.0,1.0,1.0,0.0,,,,,euclidean,3.0,distance
k-NN,0.0011933644612630208,0.0001474653550881073,0.3027949333190918,0.006460578982946721,,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.8178153293985471,0.7944444444444446,0.7398817186997103,0.7840471641809007,0.032654652519954655,5,0.8996225524887945,0.8701325725392693,0.8831148065238247,0.8842899771839628,0.012067877441543907,,,,,euclidean,5.0,uniform
k-NN,0.0011920928955078125,0.00022724038198458185,0.4624381860097249,0.03856838119706451,,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.832955807239618,0.8086842578845549,0.7398817186997103,0.7938405946079611,0.039420360593525106,3,1.0,1.0,1.0,1.0,0.0,,,,,euclidean,5.0,distance
k-NN,0.0012617905934651692,9.994002028975183e-05,0.3298695882161458,0.044715147177160484,,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.8119720597790773,0.8058948576056149,0.687223523289097,0.7683634802245963,0.057428230892626934,6,0.8691033138401559,0.7968158969271316,0.8588909680145367,0.8416033929272748,0.03194279105200043,,,,,euclidean,7.0,uniform
k-NN,0.016069412231445312,0.02107474769057033,0.400497039159139,0.006449542996399733,,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.8436049555938528,0.821236559139785,0.6918273645546372,0.7855562930960917,0.06690251776093531,4,1.0,1.0,1.0,1.0,0.0,,,,,euclidean,7.0,distance
